measurement_month,trade_date,symbol,listed_mic,round_lot_size
202603,20260331,MAGS,BATS,100
202603,20260331,MAGX,BATS,100
202603,20260331,MAGY,BATS,100
202603,20260331,MAMB,BATS,100
202603,20260331,MARM,BATS,100
202603,20260331,MARS,BATS,100
202603,20260331,MART,BATS,100
202603,20260331,MARU,BATS,100
202603,20260331,MARW,BATS,100
202603,20260331,MARZ,BATS,100
202603,20260331,MAXJ,BATS,100
202603,20260331,MAYM,BATS,100
202603,20260331,MAYP,BATS,100
202603,20260331,MAYT,BATS,100
202603,20260331,MAYU,BATS,100
202603,20260331,MAYW,BATS,100
202603,20260331,MAYZ,BATS,100
202603,20260331,MBBA,BATS,100
202603,20260331,MBBB,BATS,100
202603,20260331,MBCC,BATS,100
202603,20260331,MBND,BATS,100
202603,20260331,MBNE,BATS,100
202603,20260331,MCOW,BATS,100
202603,20260331,MDBX,BATS,100
202603,20260331,MDEV,BATS,100
202603,20260331,MDLV,BATS,100
202603,20260331,MDPL,BATS,100
202603,20260331,MEAR,BATS,100
202603,20260331,MEMY,BATS,100
202603,20260331,METW,BATS,100
202603,20260331,MFUL,BATS,100
202603,20260331,MFUT,BATS,100
202603,20260331,MIG,BATS,100
202603,20260331,MILK,BATS,100
202603,20260331,MINN,BATS,100
202603,20260331,MLN,BATS,100
202603,20260331,MLPI,BATS,100
202603,20260331,MMAX,BATS,100
202603,20260331,MOAT,BATS,100
202603,20260331,MOTG,BATS,100
202603,20260331,MOTI,BATS,100
202603,20260331,MPLY,BATS,100
202603,20260331,MPRO,BATS,100
202603,20260331,MRCP,BATS,100
202603,20260331,MRGR,BATS,100
202603,20260331,MSFW,BATS,100
202603,20260331,MSFX,BATS,100
202603,20260331,MSFY,BATS,100
202603,20260331,MSII,BATS,100
202603,20260331,MSMR,BATS,100
202603,20260331,MSOO,BATS,100
202603,20260331,MSSS,BATS,100
202603,20260331,MSST,BATS,100
202603,20260331,MSTB,BATS,100
202603,20260331,MSTK,BATS,100
202603,20260331,MSTQ,BATS,100
202603,20260331,MSTU,BATS,100
202603,20260331,MSTW,BATS,100
202603,20260331,MSTZ,BATS,100
202603,20260331,MTRA,BATS,100
202603,20260331,MTUM,BATS,100
202603,20260331,MUNY,BATS,100
202603,20260331,MVAL,BATS,100
202603,20260331,MVFD,BATS,100
202603,20260331,MVFG,BATS,100
202603,20260331,MYLD,BATS,100
202603,20260331,NANC,BATS,100
202603,20260331,NAPR,BATS,100
202603,20260331,NAUG,BATS,100
202603,20260331,NBIZ,BATS,100
202603,20260331,NDEC,BATS,100
202603,20260331,NDOW,BATS,100
202603,20260331,NEAR,BATS,100
202603,20260331,NEBX,BATS,100
202603,20260331,NEHI,BATS,100
202603,20260331,NELS,BATS,100
202603,20260331,NERD,BATS,100
202603,20260331,NFEB,BATS,100
202603,20260331,NFLP,BATS,100
202603,20260331,NFLU,BATS,100
202603,20260331,NFLW,BATS,100
202603,20260331,NIHI,BATS,100
202603,20260331,NJAN,BATS,100
202603,20260331,NJUL,BATS,100
202603,20260331,NJUN,BATS,100
202603,20260331,NLSI,BATS,100
202603,20260331,NMAR,BATS,100
202603,20260331,NMAY,BATS,100
202603,20260331,NNEX,BATS,100
202603,20260331,NNOV,BATS,100
202603,20260331,NOBL,BATS,100
202603,20260331,NOCT,BATS,100
202603,20260331,NODE,BATS,100
202603,20260331,NOVM,BATS,100
202603,20260331,NOVP,BATS,100
202603,20260331,NOVZ,BATS,100
202603,20260331,NPFE,BATS,100
202603,20260331,NSEP,BATS,100
202603,20260331,NUDM,BATS,100
202603,20260331,NUDV,BATS,100
202603,20260331,NUEM,BATS,100
202603,20260331,NULC,BATS,100
202603,20260331,NULG,BATS,100
202603,20260331,NULV,BATS,100
202603,20260331,NUMG,BATS,100
202603,20260331,NUMV,BATS,100
202603,20260331,NURE,BATS,100
202603,20260331,NUSC,BATS,100
202603,20260331,NVBT,BATS,100
202603,20260331,NVBU,BATS,100
202603,20260331,NVBW,BATS,100
202603,20260331,NVDO,BATS,100
202603,20260331,NVDQ,BATS,100
202603,20260331,NVDW,BATS,100
202603,20260331,NVDX,BATS,100
202603,20260331,NVII,BATS,100
202603,20260331,NVIT,BATS,100
202603,20260331,NVTX,BATS,100
202603,20260331,NXTI,BATS,100
202603,20260331,OBND,BATS,100
202603,20260331,OCTB,BATS,100
202603,20260331,OCTH,BATS,100
202603,20260331,OCTJ,BATS,100
202603,20260331,OCTM,BATS,100
202603,20260331,OCTP,BATS,100
202603,20260331,OCTT,BATS,100
202603,20260331,OCTU,BATS,100
202603,20260331,OCTW,BATS,100
202603,20260331,OCTZ,BATS,100
202603,20260331,OILK,BATS,100
202603,20260331,OMFL,BATS,100
202603,20260331,OMFS,BATS,100
202603,20260331,ONDL,BATS,100
