scenario,scenario_label,ticker,name,market_cap,price,avg_volume_90d,dollar_volume_90d,balanced_decision,simulated_reasons,weak_reasons
balanced,Equilibrado,ACT,"Enact Holdings, Inc. - Common Stock",5833915392.0,41.79,313950,13119970.5,PASSED,,
balanced,Equilibrado,ADAM,"Adamas Trust, Inc. - Common Stock",806952704.0,8.98,766512,6883277.760000001,PASSED,,
balanced,Equilibrado,ADBE,Adobe Inc. - Common Stock,101632049152.0,251.44,5571100,1400797384.0,PASSED,,
balanced,Equilibrado,ADEA,Adeia Inc.  - Common Stock,3196312832.0,28.98,1697325,49188478.5,PASSED,,
balanced,Equilibrado,ADI,"Analog Devices, Inc. - Common Stock",195511877632.0,401.39,3937093,1580309759.27,PASSED,,
balanced,Equilibrado,ADMA,ADMA Biologics Inc - Common Stock,1847228544.0,7.97,6990904,55717504.88,PASSED,,
balanced,Equilibrado,ADP,"Automatic Data Processing, Inc. - Common Stock",92718366720.0,231.95,3341206,774992731.6999999,PASSED,,
balanced,Equilibrado,ADPT,Adaptive Biotechnologies Corporation - Common Stock,2704750080.0,16.9,1933823,32681608.7,PASSED,,
balanced,Equilibrado,ADSK,"Autodesk, Inc. - Common Stock",48554962944.0,229.96,2084849,479431876.04,PASSED,,
balanced,Equilibrado,ADTN,"ADTRAN Holdings, Inc. - Common Stock",1243320832.0,15.35,2496573,38322395.55,PASSED,,
balanced,Equilibrado,ADUS,Addus HomeCare Corporation - Common Stock,1719025792.0,92.1,247895,22831129.5,PASSED,,
balanced,Equilibrado,AEHR,Aehr Test Systems - Common Stock,3096572672.0,98.45,2939947,289437782.15000004,PASSED,,
balanced,Equilibrado,AEIS,"Advanced Energy Industries, Inc. - Common Stock",11795540992.0,294.81,782965,230825911.65,PASSED,,
balanced,Equilibrado,AEP,"American Electric Power Company, Inc. - Common Stock",70265724928.0,129.14,3806220,491535250.8,PASSED,,
balanced,Equilibrado,AEVA,"Aeva Technologies, Inc. - Common Stock",1553985024.0,23.01,1888300,43449783.0,PASSED,,
balanced,Equilibrado,AFRM,"Affirm Holdings, Inc. - Class A Common Stock",21302896640.0,63.61,5304323,337407986.03,PASSED,,
balanced,Equilibrado,AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",1682451840.0,28.29,1049271,29683876.59,PASSED,,
balanced,Equilibrado,AGNC,AGNC Investment Corp. - Common Stock,11674440704.0,10.17,17067223,173573657.91,PASSED,,
balanced,Equilibrado,AGNT,"eXp World Holdings, Inc. - Common Stock",780538624.0,4.75,1158055,5500761.25,PASSED,PRICE_WEAK_WATCHLIST_RANGE,PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,AGYS,"Agilysys, Inc. - Common Stock",2493309696.0,88.52,348909,30885424.68,PASSED,,
balanced,Equilibrado,AHCO,AdaptHealth Corp.  - Common Stock,1345575552.0,9.89,1501592,14850744.88,PASSED,,
balanced,Equilibrado,AIOT,"PowerFleet, Inc. - Common Stock",515125536.0,3.84,1597003,6132491.52,PASSED,PRICE_WEAK_WATCHLIST_RANGE,PRICE_WEAK_WATCHLIST_RANGE
balanced,Equilibrado,AIP,"Arteris, Inc.  - Common Stock",1582775552.0,34.28,786230,26951964.4,PASSED,,
balanced,Equilibrado,AKAM,"Akamai Technologies, Inc. - Common Stock",21708957696.0,149.32,5589768,834664157.76,PASSED,,
balanced,Equilibrado,AKTS,"Aktis Oncology, Inc. - Common stock",1043085504.0,18.87,322225,6080385.75,PASSED,,
balanced,Equilibrado,ALAB,"Astera Labs, Inc. - Common Stock",54346600448.0,317.06,5597415,1774716399.9,PASSED,,
