asset_id,ticker,company_name,exchange,price_rows,date_start,date_end,trading_days_1y,adjusted_prices_available,price_feature_quality_status,features_calculated,features_missing,quality_flags,return_1m,return_3m,return_6m,return_12m,price_vs_sma_50,price_vs_sma_200,sma_50_vs_sma_200,volatility_3m,volatility_6m,max_drawdown_6m,max_drawdown_12m,downside_volatility_6m,avg_volume_1m,avg_volume_3m,momentum_consistency_flag,trend_positive_flag,recent_high_breakout_flag,near_52w_high_flag,recovery_from_drawdown_flag,price_acceleration_flag,liquidity_available_flag,phase
U00115,AIRG,"Airgain, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.11775,-0.320704,0.192399,0.183962,-0.126531,-0.062536,0.073265,0.383917,0.525201,-0.320704,-0.320704,0.250148,69797.190476,76291.126984,false,false,false,false,false,false,true,v2.38H
U00118,AIRS,"AirSculpt Technologies, Inc. - Common Stock",,670,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.503074,-0.535441,0.397695,-0.624031,-0.389691,-0.273299,0.19071,1.194408,1.360033,-0.575306,-0.864378,0.961883,1053995.904762,701700.222222,false,false,false,false,false,false,true,v2.38H
U00119,AIRT,"Air T, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.031946,0.421333,0.559239,0.461609,0.124038,0.385426,0.232544,0.859174,0.669623,-0.211909,-0.283203,0.465068,15655.0,9827.825397,true,true,false,true,true,false,true,v2.38H
U00122,AKAM,"Akamai Technologies, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.096878,-0.335953,0.042908,0.345381,-0.087582,-0.026139,0.067341,0.531639,0.691036,-0.344297,-0.344297,0.413766,3485900.142857,3673936.555556,false,false,false,false,false,false,true,v2.38H
U00124,AKBA,"Akebia Therapeutics, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.278855,0.009295,-0.225656,-0.69914,-0.165647,-0.276091,-0.132371,0.779164,0.777896,-0.458974,-0.733754,0.721668,8558542.809524,5930533.31746,false,false,false,false,false,false,true,v2.38H
U00126,ALAB,"Astera Labs, Inc. - Common Stock",,615,2024-03-20,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.128142,-0.213206,1.549271,0.536279,-0.169405,0.255437,0.511492,1.070445,1.018944,-0.482961,-0.601914,0.589874,3972086.285714,4985112.888889,false,false,false,false,false,false,true,v2.38H
U00128,ALCO,"Alico, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.048819,-0.014064,-0.017699,0.180851,-0.00364,0.008433,0.012117,0.231343,0.231984,-0.150697,-0.150697,0.137836,19818.571429,21126.825397,false,false,false,false,false,false,true,v2.38H
U00131,ALEC,"Alector, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,0.589404,0.230769,0.137441,0.021277,0.292338,0.261084,-0.024184,1.035665,0.914636,-0.486137,-0.656627,0.465997,1537780.904762,985138.079365,true,false,false,false,true,true,true,v2.38H
U00133,ALGM,"Allegro MicroSystems, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.145713,-0.295251,0.021601,0.149757,-0.242159,-0.096292,0.192476,0.895715,0.791903,-0.49052,-0.49052,0.490783,1940366.238095,2761144.301587,false,false,false,false,false,false,true,v2.38H
U00134,ALGN,"Align Technology, Inc. - Common Stock",,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.103708,-0.07037,-0.151555,0.091575,-0.099803,-0.089563,0.011376,0.431919,0.423816,-0.209589,-0.215432,0.229432,826456.52381,968075.984127,false,false,false,false,false,false,true,v2.38H
U00136,ALGT,Allegiant Travel Company - Common Stock,,669,2024-01-02,2026-09-01,252,false,PRICE_FEATURES_READY,21,,adjusted_prices_unavailable,-0.300251,-0.174062,-0.245179,0.155602,-0.25762,-0.184632,0.098315,0.579931,0.636964,-0.39233,-0.39233,0.321526,553192.333333,570011.730159,false,false,false,false,false,false,true,v2.38H
