row_number,matched_terms,isin,symbol,name,country,exchange,mic,currency,source_provider,severity
4294,fund,,,"Western Asset High Income Opportunity Fund, Inc. Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4297,fund,,,Western Asset High Income Fund II Inc. Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
4329,fund,,,John Hancock Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4341,fund,,,Western Asset High Yield Opportunity Fund Inc. Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
4343,fund,,,"Blackrock Corporate High Yield Fund, Inc. Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4345,fund,,,Voya Asia Pacific High Dividend Equity Income Fund ING Asia Pacific High Dividend Equity Income Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4346,fund,,,"abrdn Australia Equity Fund, Inc. Common Stock",USA,NYSE American,,,nasdaq_trader_otherlisted,review
4357,fund,,,"Voya Infrastructure, Industrials and Materials Fund Common Shares of Beneficial Interest",USA,NYSE,,,nasdaq_trader_otherlisted,review
4363,fund,,,"Aberdeen India Fund, Inc. Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4365,fund,,,Voya Global Advantage and Premium Opportunity Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4367,fund,,,Voya Global Equity Dividend and Premium Opportunity Fund,USA,NYSE,,,nasdaq_trader_otherlisted,review
4369,fund,,,CBRE Global Real Estate Income Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4370,fund,,,Voya Emerging Markets High Income Dividend Equity Fund Common Shares,USA,NYSE,,,nasdaq_trader_otherlisted,review
4373,fund,,,"Morgan Stanley India Investment Fund, Inc. Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4425,fund,,,Nuveen Core Equity Alpha Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4430,fund,,,Nuveen Floating Rate Income Fund Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
