ticker,company_name,exchange,raw_cik,source_provider,sec_classification,coverage_status,instrument_type,instrument_scope,classification_confidence
RKGRY,RENK Group AG/ADR,OTC,2093907,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
OBOCY,Ottobock SE & Co. KGaA/ADR,OTC,2094691,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
TKMTY,"Tokyo Metro Co., Ltd./ADR",OTC,2044863,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
HAPVY,Hapvida Participacoes e Investimentos S.A./ADR,OTC,1869666,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
HPHTY,Hamamatsu Photonics K.K./ADR,OTC,1600928,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
MAUTF,Montage Gold Corp.,OTC,1830918,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
RMVEY,Rightmove PLC/ADR,OTC,1516536,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
MBRFY,MARFRIG GLOBAL FOODS S.A.,OTC,1496919,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
NWSGY,CTF Services Ltd,OTC,1449664,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
BJGPY,"Beijing Geekplus Technology Co., Ltd./ADR",OTC,2098425,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
AMVOY,AUMOVIO SE,OTC,2085236,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
IFHLY,Inficon Holding AG/ADR,OTC,2035057,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
NEXHY,"Nippon Express Holdings, Inc./ADR",OTC,1985406,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
NGXXF,NGEx Minerals Ltd.,OTC,2044153,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
ADOOY,Adaro Energy PT/ADR/,OTC,1489079,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
FMCC,FEDERAL HOME LOAN MORTGAGE CORP,OTC,1026214,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
KOZAY,Turk Altin Isletmeleri A.S./ADR,OTC,1532173,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
HYPMY,Hypermarcas S.A.,OTC,1486749,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
CURLF,"Curaleaf Holdings, Inc.",None,1756770,sec_company_tickers_exchange,ENRICHMENT_OR_EXCLUSION_CANDIDATE,ENRICHMENT_OR_EXCLUSION,UNKNOWN_PENDING_CLASSIFICATION,UNKNOWN_PENDING_CLASSIFICATION,LOW
