ticker,company_name,exchange,country,source_provider,source_file,instrument_type,instrument_scope,classification_confidence,classification_reason,sector,industry,market_cap,raw_cik,raw_exchange,provider_precedence,merge_action,merge_reason,isin,currency,mic,source_version,source_url,hkex_category,hkex_subcategory,hkex_board_lot
1926,"RAITO KOGYO CO.,LTD.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1928,"Sekisui House,Ltd.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1929,"NITTOC CONSTRUCTION CO.,LTD.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
192A,Integroup Inc.,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,9050,9050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1930,"HOKURIKU ELECTRICAL CONSTRUCTION CO.,LTD.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1934,YURTEC CORPORATION,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1938,"NIPPON RIETEC CO.,LTD.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1939,YONDENKO CORPORATION,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1941,CHUDENKO CORPORATION,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1942,"KANDENKO CO.,LTD.",JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
1944,KINDEN CORPORATION,JPX,JP,jpx_listed_securities,jpx_v2_13c/raw_dataset_candidate_001,equity,,,,2050,2050,,,,,,,,JPY,XTKS,v2.13E,https://www.jpx.co.jp/english/markets/statistics-equities/misc/01.html,,,
