url,origin_type,official_scope_allowed,download_or_data_hint,selected_for_fetch,selection_reason,attrs
https://global.krx.co.kr/contents/GLB/02/0205/0205020300/GLB0205020300.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0205/0205020300/GLB0205020300.jsp"", ""data-menu-id"": ""E02050203""}"
https://global.krx.co.kr/contents/GLB/02/0205/0205020400/GLB0205020400.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0205/0205020400/GLB0205020400.jsp"", ""data-menu-id"": ""E02050204""}"
https://global.krx.co.kr/contents/GLB/02/0205/0205020500/GLB0205020500.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/02/0205/0205020500/GLB0205020500.jsp"", ""data-menu-id"": ""E02050205""}"
https://global.krx.co.kr/board/GLB0205020600/bbs,html_a_href,True,False,False,,"{""href"": ""/board/GLB0205020600/bbs"", ""data-menu-id"": ""E02050206""}"
https://global.krx.co.kr/contents/GLB/01/0109/0109000000/GLB0109000000.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/01/0109/0109000000/GLB0109000000.jsp"", ""data-menu-id"": ""E020503""}"
https://global.krx.co.kr/board/GLB0501020000/bbs,html_a_href,True,False,False,,"{""href"": ""/board/GLB0501020000/bbs"", ""data-menu-id"": ""E0501""}"
https://global.krx.co.kr/contents/GLB/05/0501/0501040000/GLB0501040000.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/05/0501/0501040000/GLB0501040000.jsp"", ""data-menu-id"": ""E050104""}"
https://global.krx.co.kr/contents/GLB/05/0501/0501060000/GLB0501060000.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/05/0501/0501060000/GLB0501060000.jsp"", ""data-menu-id"": ""E050106""}"
https://global.krx.co.kr/contents/GLB/05/0501/0501110000/GLB0501110000.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/05/0501/0501110000/GLB0501110000.jsp"", ""data-menu-id"": ""E050111""}"
https://global.krx.co.kr/board/GLB0501070000/bbs,html_a_href,True,False,False,,"{""href"": ""/board/GLB0501070000/bbs"", ""data-menu-id"": ""E050107""}"
https://global.krx.co.kr/contents/GLB/03/0301/0301010000/GLB0301010000.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/03/0301/0301010000/GLB0301010000.jsp"", ""title"": ""Listing"", ""data-menu-id"": ""E03""}"
https://global.krx.co.kr/contents/GLB/03/0301/0301020000/GLB0301020000.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/03/0301/0301020000/GLB0301020000.jsp"", ""data-menu-id"": ""E030102""}"
https://global.krx.co.kr/contents/GLB/03/0301/0301030000/GLB0301030000.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/03/0301/0301030000/GLB0301030000.jsp"", ""data-menu-id"": ""E030103""}"
https://global.krx.co.kr/contents/GLB/03/0301/0301040000/GLB0301040000.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/03/0301/0301040000/GLB0301040000.jsp"", ""data-menu-id"": ""E030104""}"
https://global.krx.co.kr/contents/GLB/03/0301/0301050000/GLB0301050000.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/03/0301/0301050000/GLB0301050000.jsp"", ""data-menu-id"": ""E030105""}"
https://global.krx.co.kr/contents/GLB/03/0302/0302010000/GLB0302010000.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/03/0302/0302010000/GLB0302010000.jsp"", ""data-menu-id"": ""E0302""}"
https://global.krx.co.kr/contents/GLB/03/0302/0302020000/GLB0302020000.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/03/0302/0302020000/GLB0302020000.jsp"", ""data-menu-id"": ""E030202""}"
https://global.krx.co.kr/contents/GLB/03/0302/0302030000/GLB0302030000.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/03/0302/0302030000/GLB0302030000.jsp"", ""data-menu-id"": ""E030203""}"
https://global.krx.co.kr/contents/GLB/03/0302/0302040000/GLB0302040000.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/03/0302/0302040000/GLB0302040000.jsp"", ""data-menu-id"": ""E030204""}"
https://global.krx.co.kr/contents/GLB/03/0303/0303010000/GLB0303010000.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/03/0303/0303010000/GLB0303010000.jsp"", ""data-menu-id"": ""E0303""}"
https://global.krx.co.kr/contents/GLB/03/0303/0303020000/GLB0303020000.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/03/0303/0303020000/GLB0303020000.jsp"", ""data-menu-id"": ""E030302""}"
https://global.krx.co.kr/contents/GLB/03/0303/0303030000/GLB0303030000.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/03/0303/0303030000/GLB0303030000.jsp"", ""data-menu-id"": ""E030303""}"
https://global.krx.co.kr/contents/GLB/03/0303/0303040000/GLB0303040000.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/03/0303/0303040000/GLB0303040000.jsp"", ""data-menu-id"": ""E030304""}"
https://global.krx.co.kr/contents/GLB/03/0303/0303050100/GLB0303050100.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/03/0303/0303050100/GLB0303050100.jsp"", ""data-menu-id"": ""E030305""}"
https://global.krx.co.kr/contents/GLB/03/0303/0303050200/GLB0303050200.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/03/0303/0303050200/GLB0303050200.jsp"", ""data-menu-id"": ""E03030502""}"
https://global.krx.co.kr/contents/GLB/03/0303/0303050300/GLB0303050300.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/03/0303/0303050300/GLB0303050300.jsp"", ""data-menu-id"": ""E03030503""}"
https://global.krx.co.kr/contents/GLB/03/0303/0303050400/GLB0303050400.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/03/0303/0303050400/GLB0303050400.jsp"", ""data-menu-id"": ""E03030504""}"
https://global.krx.co.kr/contents/GLB/03/0303/0303050500/GLB0303050500.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/03/0303/0303050500/GLB0303050500.jsp"", ""data-menu-id"": ""E03030505""}"
https://global.krx.co.kr/contents/GLB/03/0303/0303060100/GLB0303060100.jsp,html_a_href,True,False,False,,"{""href"": ""/contents/GLB/03/0303/0303060100/GLB0303060100.jsp"", ""data-menu-id"": ""E030306""}"
