source_phase,provider,source_file,source_sheet,source_excel_row_number,asx_code,ticker,symbol,name,isin,security_group_code,product_description,last_price,business_date,instrument_class,include_decision,exclusion_reason,scope_confidence,context_match,duplicate_asx_code_in_extraction,duplicate_isin_in_extraction,raw_code_column,raw_name_column,raw_isin_column,raw_product_column
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12146,REH,REH.AX,REH.AX,REECE LIMITED,AU000000REH4,EQY,ORDINARY FULLY PAID,17.23,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12154,RLC,RLC.AX,RLC.AX,REEDY LAGOON CORPORATION LIMITED,AU000000RLC0,EQY,ORDINARY FULLY PAID,0.002,29/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12158,RCT,RCT.AX,RCT.AX,REEF CASINO TRUST,AU000000RCT3,EQY,ORDINARY UNITS FULLY PAID,3.55,26/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12160,RG8,RG8.AX,RG8.AX,REGAL ASIAN INVESTMENTS LIMITED,AU0000253510,EQY,ORDINARY FULLY PAID,2.74,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12161,RF1,RF1.AX,RF1.AX,REGAL INVESTMENT FUND,AU0000045585,EQY,ORDINARY UNITS FULLY PAID,3.44,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12162,RG1,RG1.AX,RG1.AX,REGAL PARTNERS GLOBAL INVESTMENTS LIMITED,AU0000434920,EQY,ORDINARY FULLY PAID,2.38,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12163,RPL,RPL.AX,RPL.AX,REGAL PARTNERS LIMITED,AU0000226300,EQY,ORDINARY FULLY PAID,2.88,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12167,R8R,R8R.AX,R8R.AX,REGENER8 RESOURCES NL,AU0000222887,EQY,ORDINARY FULLY PAID,0.115,29/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12172,RGN,RGN.AX,RGN.AX,REGION GROUP,AU0000253502,EQY,FULLY PAID UNITS STAPLED SECURITIES,2.33,30/06/2026,ordinary_or_equity_like_unclassified,include_candidate,three_character_asx_code_from_official_isin_source,medium,True,False,False,asx_code,company_name,isin_code,security_type
v2.20E,ASX,outputs\full_universe_source_acquisition\raw\asx_v2_20c\downloads\asx_isin_xls_direct.xls,ISIN,12173,REG,REG.AX,REG.AX,REGIS HEALTHCARE LIMITED,AU000000REG6,EQY,ORDINARY FULLY PAID,6.49,30/06/2026,ordinary_equity,include_candidate,ordinary_equity_signal,high,True,False,False,asx_code,company_name,isin_code,security_type
