row_number,classification,matched_terms,reason,isin,ticker,name,exchange,country,mic,currency,source_provider,asset_type,instrument_type,instrument_scope
11049,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSBGUz,iShares USD Treasury Bond 1-3yr UCITS ETF USD Acc B,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11050,residual_review_required,etf;bond,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSBGVm,iShares EUR Govt Bond 3-7yr UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11051,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSCAm,iShares MSCI Canada UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11052,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSCAz,iShares MSCI Canada UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11054,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSEMAm,iShares MSCI EM Asia UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11055,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSEMAz,iShares MSCI EM Asia UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11056,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSEMSm,iShares MSCI EMU Small Cap UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11057,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSEMSz,iShares MSCI EMU Small Cap UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11058,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSEMUm,iShares Core MSCI EMU UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11059,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSEMZz,iShares Core MSCI EMU UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11060,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSGLDz,iShares Gold CHF Hedged ETF CH,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11061,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSGLEz,iShares Gold EUR Hedged ETF CH,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11062,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSGOLz,iShares Gold ETF CH,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11064,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSH2l,Amundi Smart Overnight Return,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11065,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSH2p,Amundi Smart Overnight Return,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11066,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSHDl,Amundi EUR Overnight Return UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11068,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSHp,Amundi EUR Overnight Return UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11069,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSINDz,iShares Dow Jones Industrial Average UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11070,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSJPl,iShares MSCI Japan UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11071,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSJPm,iShares MSCI Japan UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11072,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSJPz,iShares MSCI Japan UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11073,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSKRl,iShares MSCI Korea UCITS ETF USD Acc,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11074,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSKRm,iShares MSCI Korea UCITS ETF USD Acc,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11075,residual_review_required,fund,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSLOGz,UBS CH Property Fund - Direct LogisticsPlus,CBOE_EUROPE,,,,cboe_europe_reference_data,,EQTY,
11076,residual_review_required,fund;etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSLPz,UBS CH Property Fund - Direct LivingPlus,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
