promotion_id,candidate_id,source_id,raw_symbol,raw_name,raw_exchange,raw_series,raw_isin,confidence_bucket,review_required,net_new_bucket,promoted_to_candidate_dataset,expanded_candidate_row_index,promotion_policy,promotion_notes
51b67d7c20ade93e,44c5a4f572bf4c41,nse_securities_available_equity_segment,DLINKINDIA,D-Link (India) Limited,NSE,EQ,INE250K01012,high,False,potential_net_new_high,True,38768,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
c728c602c3964752,badfeadaa8d64d72,nse_securities_available_equity_segment,DMART,Avenue Supermarts Limited,NSE,EQ,INE192R01011,high,False,potential_net_new_high,True,38769,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
8ba8db46cb06fc32,a24e4ba94d65ad3c,nse_securities_available_equity_segment,DMCC,DMCC SPECIALITY CHEMICALS LIMITED,NSE,EQ,INE505A01010,high,False,potential_net_new_high,True,38770,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
a2e9b6da72457f5d,7c028789a48000b5,nse_securities_available_equity_segment,DNAMEDIA,Diligent Media Corporation Limited,NSE,EQ,INE016M01021,high,False,potential_net_new_high,True,38771,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
1fd8263c62a61e64,35135325e1d855cd,nse_securities_available_equity_segment,DODLA,Dodla Dairy Limited,NSE,EQ,INE021O01019,high,False,potential_net_new_high,True,38772,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
d9d586147fb894ea,cf27b21d47c65e7b,nse_securities_available_equity_segment,DOLATALGO,Dolat Algotech Limited,NSE,EQ,INE966A01022,high,False,potential_net_new_high,True,38773,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
f9da433e307be15d,73a90fc2fcc28807,nse_securities_available_equity_segment,DOLLAR,Dollar Industries Limited,NSE,EQ,INE325C01035,high,False,potential_net_new_high,True,38774,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
300bd736133990b7,83f30018fbf1add9,nse_securities_available_equity_segment,DOLPHIN,Dolphin Offshore Enterprises (India) Limited,NSE,EQ,INE920A01037,high,False,potential_net_new_high,True,38775,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
c8974da4996223a0,32833d0641838ece,nse_securities_available_equity_segment,DOMS,DOMS Industries Limited,NSE,EQ,INE321T01012,high,False,potential_net_new_high,True,38776,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
50d6be0edaff30f5,4e6a365f20504cb7,nse_securities_available_equity_segment,DONEAR,Donear Industries Limited,NSE,EQ,INE668D01028,high,False,potential_net_new_high,True,38777,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
c053fccc8dcb812f,708dc2cfbf502550,nse_securities_available_equity_segment,DPABHUSHAN,D. P. Abhushan Limited,NSE,EQ,INE266Y01019,high,False,potential_net_new_high,True,38778,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
1a07f097522fd95f,6bb85ef1d5f5b788,nse_securities_available_equity_segment,DRAGARWQ,Dr Agarwals Eye Hospital Limited,NSE,EQ,INE934C01018,high,False,potential_net_new_high,True,38779,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
8be72ed9bd826aad,692124b6606f70ec,nse_securities_available_equity_segment,DRCSYSTEMS,DRC Systems India Limited,NSE,EQ,INE03RS01027,high,False,potential_net_new_high,True,38780,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
c6a8775b2f27b658,42c4facc7f90bc5d,nse_securities_available_equity_segment,DREAMFOLKS,Dreamfolks Services Limited,NSE,EQ,INE0JS101016,high,False,potential_net_new_high,True,38781,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
c42b6265ebcbc0c1,b1b1b1665945c2f4,nse_securities_available_equity_segment,DREDGECORP,Dredging Corporation of India Limited,NSE,EQ,INE506A01018,high,False,potential_net_new_high,True,38782,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
54fb5980beff2353,d5a81ee748e768d1,nse_securities_available_equity_segment,DRREDDY,Dr. Reddy's Laboratories Limited,NSE,EQ,INE089A01031,high,False,potential_net_new_high,True,38783,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
e3aba4623188e3ce,e64dc9447a4bdf90,nse_securities_available_equity_segment,DSSL,Dynacons Systems & Solutions Limited,NSE,EQ,INE417B01040,high,False,potential_net_new_high,True,38784,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
